REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
ASSICURAZIONI GENERALI - SOCIETA PER AZIONI|EUROPE|Y|10|8.3|25,000,000|5|> 95%
ASSURED GUARANTY CORP.|AMERICAS||2|0.7|2,500,000|0|< 5%
ASSURED GUARANTY MUNICIPAL CORP.|AMERICAS|Y|7|2.3|7,500,000|1|< 5%
ASTRAZENECA PLC|EUROPE|Y|5|2.0|10,000,000|1|> 95%
AT&T INC.|AMERICAS|Y|8|6.0|50,000,000|14|< 5%
ATLANTIA S.P.A.|EUROPE|Y|4|2.0|5,000,000|1|> 95%
AUSNET SERVICES HOLDINGS PTY LTD|AUSTRALIA NZ|Y|1|0.3|2,500,000|0|> 95%
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED|AUSTRALIA NZ|Y|6|3.0|12,500,000|1|> 95%
AUTOZONE, INC.|AMERICAS|Y|5|2.3|10,000,000|2|5-25%
AVIENT CORPORATION|AMERICAS|Y|4|2.0|2,500,000|1|< 5%
AVIS BUDGET GROUP, INC.|AMERICAS|Y|6|3.7|10,000,000|4|< 5%
AVIVA PLC|EUROPE|Y|9|6.0|17,500,000|3|> 95%
AVNET, INC.|AMERICAS|Y|2|0.7|12,500,000|3|< 5%
AVON PRODUCTS, INC.|AMERICAS|Y|5|1.7|2,500,000|1|< 5%
AXA|EUROPE|Y|9|5.0|20,000,000|4|> 95%
BAE SYSTEMS PLC|EUROPE|Y|2|1.3|7,500,000|1|> 95%
BAIDU, INC.|ASIA EX-JAPAN|Y|5|3.0|5,000,000|0|> 95%
BALL CORPORATION|AMERICAS|Y|8|5.7|2,500,000|0|< 5%
BANCA MONTE DEI PASCHI DI SIENA S.P.A.|EUROPE|Y|3|1.7|2,500,000|0|> 95%
BANCO BILBAO VIZCAYA ARGENTARIA, SOCIEDAD ANONIMA|EUROPE|Y|10|5.7|25,000,000|4|> 95%
BANCO BPM SOCIETA' PER AZIONI|EUROPE||2|1.0|2,500,000|0|> 95%
BANCO COMERCIAL PORTUGUES, S.A.|EUROPE|Y|0|0.0|2,500,000|0|> 95%
BANCO DE SABADELL, S.A.|EUROPE||3|1.0|2,500,000|0|> 95%
BANCO SANTANDER, S.A.|EUROPE|Y|11|7.3|50,000,000|5|> 95%
BANK OF AMERICA CORPORATION|AMERICAS|Y|6|4.0|50,000,000|4|< 5%
BANK OF CHINA LIMITED|ASIA EX-JAPAN|Y|5|2.7|17,500,000|2|> 95%
BANK OF INDIA|ASIA EX-JAPAN|Y|3|2.0|2,500,000|0|> 95%
BANK OF MONTREAL|AMERICAS||1|0.3|2,500,000|0|< 5%
BARCLAYS BANK PLC|EUROPE|Y|9|6.7|25,000,000|2|> 95%
BARCLAYS PLC|EUROPE|Y|9|6.7|50,000,000|4|> 95%
BARRICK GOLD CORPORATION|AMERICAS|Y|5|2.3|12,500,000|2|< 5%
BASF SE|EUROPE|Y|6|2.3|12,500,000|1|> 95%
BAUSCH HEALTH COMPANIES INC.|AMERICAS|Y|7|4.7|7,500,000|3|< 5%
BAXTER INTERNATIONAL INC.|AMERICAS|Y|4|1.3|7,500,000|2|< 5%
BAYER AKTIENGESELLSCHAFT|EUROPE|Y|8|5.7|20,000,000|2|> 95%
BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT|EUROPE|Y|9|6.3|12,500,000|2|> 95%
BEAZER HOMES USA, INC.|AMERICAS|Y|3|1.3|7,500,000|3|< 5%
BERKSHIRE HATHAWAY INC.|AMERICAS|Y|5|2.3|20,000,000|3|< 5%
BERRY GLOBAL, INC.|AMERICAS||2|1.3|7,500,000|0|< 5%
BERTELSMANN SE & CO. KGAA|EUROPE|Y|4|1.7|5,000,000|1|> 95%
BEST BUY CO., INC.|AMERICAS|Y|2|1.3|7,500,000|2|< 5%
BHP GROUP LIMITED|AUSTRALIA NZ|Y|4|1.7|10,000,000|1|> 95%
BLOCK FINANCIAL LLC|AMERICAS|Y|2|0.7|7,500,000|2|< 5%
BNP PARIBAS|EUROPE|Y|10|8.3|50,000,000|6|> 95%
BOC AVIATION LIMITED|ASIA EX-JAPAN|Y|3|2.7|5,000,000|1|> 95%
BOMBARDIER INC.|AMERICAS|Y|6|4.7|15,000,000|6|< 5%
BOPARAN FINANCE PLC|EUROPE|Y|4|3.0|5,000,000|1|> 95%
BORGWARNER INC.|AMERICAS|Y|8|5.7|7,500,000|2|< 5%
BOSTON PROPERTIES LIMITED PARTNERSHIP|AMERICAS|Y|1|0.7|2,500,000|0|< 5%
BOSTON SCIENTIFIC CORPORATION|AMERICAS|Y|2|1.0|5,000,000|1|< 5%
BOUYGUES|EUROPE|Y|2|0.7|2,500,000|0|> 95%
BOYD GAMING CORPORATION|AMERICAS|Y|9|6.3|2,500,000|1|< 5%
BP P.L.C.|EUROPE|Y|10|7.0|50,000,000|4|> 95%
BRISTOL-MYERS SQUIBB COMPANY|AMERICAS|Y|7|3.7|7,500,000|2|< 5%
BRITISH AIRWAYS PLC|EUROPE|Y|0|0.0|2,500,000|0|> 95%
BRITISH AMERICAN TOBACCO P.L.C.|EUROPE|Y|6|3.7|15,000,000|2|> 95%
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY|EUROPE|Y|7|4.7|20,000,000|5|> 95%
BROADCOM INC.|AMERICAS||1|0.3|2,500,000|0|< 5%
BROOKFIELD ASSET MANAGEMENT INC.|AMERICAS||0|0.0|2,500,000|0|< 5%
CABLE & WIRELESS LIMITED|EUROPE|Y|3|1.0|2,500,000|0|> 95%
CALPINE CORPORATION|AMERICAS|Y|5|2.7|5,000,000|1|< 5%
CAMPBELL SOUP COMPANY|AMERICAS|Y|5|2.7|12,500,000|2|< 5%
CANADIAN NATURAL RESOURCES LIMITED|AMERICAS|Y|1|0.3|7,500,000|2|< 5%
CAPGEMINI|EUROPE|Y|0|0.0|2,500,000|0|> 95%
CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION|AMERICAS|Y|0|0.0|5,000,000|1|< 5%
CAPITAL ONE FINANCIAL CORPORATION|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
CAPITALAND LIMITED|ASIA EX-JAPAN|Y|2|0.7|2,500,000|0|> 95%
CARDINAL HEALTH, INC.|AMERICAS|Y|5|2.3|7,500,000|2|< 5%
CARE UK SOCIAL CARE LIMITED|EUROPE||3|1.3|2,500,000|0|> 95%
CARLSBERG BREWERIES A/S|EUROPE|Y|1|0.3|2,500,000|0|> 95%
CARNIVAL CORPORATION|AMERICAS|Y|7|5.7|25,000,000|8|< 5%
CARREFOUR|EUROPE|Y|6|3.7|17,500,000|2|> 95%
CASINO GUICHARD-PERRACHON|EUROPE|Y|8|6.3|17,500,000|5|> 95%
CATERPILLAR FINANCIAL SERVICES CORPORATION|AMERICAS||3|1.0|2,500,000|0|< 5%
CATERPILLAR INC.|AMERICAS|Y|6|2.3|10,000,000|1|< 5%
CCO HOLDINGS, LLC|AMERICAS|Y|6|2.3|5,000,000|2|< 5%
CECONOMY AG|EUROPE|Y|3|1.0|5,000,000|1|> 95%
CELLNEX TELECOM, S.A.|EUROPE|Y|7|6.0|10,000,000|2|> 95%
CEMEX, SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|AMERICAS|Y|2|0.7|2,500,000|0|> 95%
CENTRICA PLC|EUROPE|Y|9|4.0|10,000,000|1|> 95%
CHEVRON CORPORATION|AMERICAS||0|0.0|2,500,000|0|< 5%
CHINA AOYUAN GROUP LIMITED|ASIA EX-JAPAN||1|0.7|2,500,000|0|> 95%
CHINA CINDA (HK) HOLDINGS COMPANY LIMITED|ASIA EX-JAPAN|Y|4|2.7|5,000,000|0|> 95%
CHINA CONSTRUCTION BANK CORPORATION|ASIA EX-JAPAN|Y|5|3.0|2,500,000|0|> 95%
CHINA DEVELOPMENT BANK|ASIA EX-JAPAN|Y|3|1.3|7,500,000|1|> 95%
CHINA HUARONG INTERNATIONAL HOLDINGS LIMITED|ASIA EX-JAPAN|Y|8|5.0|10,000,000|2|> 95%
CHINA NATIONAL CHEMICAL CORPORATION LIMITED|ASIA EX-JAPAN|Y|4|3.0|5,000,000|1|> 95%
CHINA ORIENT ASSET MANAGEMENT (INTERNATIONAL) HOLDING LIMITED|ASIA EX-JAPAN|Y|3|2.3|5,000,000|0|> 95%
CHINA OVERSEAS LAND & INVESTMENT LIMITED|ASIA EX-JAPAN|Y|2|1.0|2,500,000|0|> 95%
CHINA PETROCHEMICAL CORPORATION|ASIA EX-JAPAN|Y|4|3.0|2,500,000|0|> 95%
CHUBB INA HOLDINGS INC.|AMERICAS||0|0.0|2,500,000|0|< 5%
CHUBB LIMITED|AMERICAS|Y|1|0.7|5,000,000|2|< 5%
CIGNA CORPORATION|AMERICAS|Y|1|0.7|2,500,000|0|< 5%
CIRSA FINANCE INTERNATIONAL S.A R.L.|EUROPE||3|1.0|2,500,000|0|> 95%
CISCO SYSTEMS, INC.|AMERICAS|Y|5|1.7|5,000,000|1|< 5%
CIT GROUP INC.|AMERICAS|Y|1|0.3|5,000,000|1|< 5%
CITIC LIMITED|ASIA EX-JAPAN|Y|5|2.7|2,500,000|0|> 95%
CITIGROUP INC.|AMERICAS|Y|7|5.3|22,500,000|3|< 5%
CITY OF CHICAGO|AMERICAS|Y|1|0.3|2,500,000|0|> 95%
CLARIANT AG|EUROPE|Y|5|2.0|7,500,000|1|> 95%
CLEVELAND-CLIFFS INC.|AMERICAS|Y|5|4.3|10,000,000|5|< 5%
CMA CGM|EUROPE|Y|8|5.3|5,000,000|2|> 95%
CNH INDUSTRIAL N.V.|EUROPE|Y|6|3.3|10,000,000|2|> 95%
CNOOC LIMITED|ASIA EX-JAPAN|Y|4|1.7|2,500,000|0|> 95%
COMCAST CORPORATION|AMERICAS|Y|6|4.7|20,000,000|3|< 5%
COMMERZBANK AKTIENGESELLSCHAFT|EUROPE|Y|12|9.3|25,000,000|3|> 95%
COMMONWEALTH BANK OF AUSTRALIA|AUSTRALIA NZ|Y|4|3.0|12,500,000|1|> 95%
COMMONWEALTH OF AUSTRALIA|SOVEREIGN|Y|4|1.3|17,500,000|1|> 95%
COMMUNITY HEALTH SYSTEMS, INC.|AMERICAS|Y|5|3.7|10,000,000|3|< 5%
COMPAGNIE DE SAINT-GOBAIN|EUROPE|Y|3|1.0|7,500,000|1|> 95%
COMPAGNIE FINANCIERE MICHELIN SA|EUROPE||5|1.7|5,000,000|1|> 95%
COMPASS GROUP PLC|EUROPE|Y|3|1.3|2,500,000|1|> 95%
CONAGRA BRANDS, INC.|AMERICAS|Y|6|3.0|12,500,000|3|< 5%
CONOCOPHILLIPS|AMERICAS|Y|4|2.0|10,000,000|3|< 5%
CONSTELLATION BRANDS, INC.|AMERICAS|Y|2|0.7|2,500,000|0|< 5%
CONSTELLIUM SE|EUROPE|Y|5|3.3|2,500,000|1|> 95%
CONTINENTAL AKTIENGESELLSCHAFT|EUROPE|Y|9|4.7|15,000,000|3|> 95%
COOEPERATIEVE RABOBANK U.A.|EUROPE|Y|8|5.7|7,500,000|2|> 95%
COOPER TIRE & RUBBER COMPANY|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
CORNING INCORPORATED|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
COUNTRY GARDEN HOLDINGS COMPANY LIMITED|ASIA EX-JAPAN|Y|5|2.3|2,500,000|1|> 95%
COX COMMUNICATIONS, INC.|AMERICAS|Y|1|0.3|7,500,000|1|< 5%
CREDIT AGRICOLE SA|EUROPE|Y|9|6.7|17,500,000|3|> 95%
CREDIT SAISON CO., LTD.|JAPAN||1|0.3|2,500,000|0|> 95%
CREDIT SUISSE GROUP AG|EUROPE|Y|9|5.7|50,000,000|5|> 95%
CROWN EUROPEAN HOLDINGS|EUROPE|Y|5|3.7|2,500,000|0|> 95%
CSC HOLDINGS, LLC|AMERICAS|Y|4|2.0|5,000,000|2|< 5%
CSX CORPORATION|AMERICAS|Y|5|1.7|5,000,000|1|< 5%
CVS HEALTH CORPORATION|AMERICAS|Y|8|4.0|12,500,000|2|< 5%
CZECH REPUBLIC|SOVEREIGN|Y|0|0.0|2,500,000|0|> 95%
D.R. HORTON, INC.|AMERICAS|Y|1|0.3|10,000,000|2|< 5%
DAIMLER AG|EUROPE|Y|8|6.0|50,000,000|3|> 95%
DANAHER CORPORATION|AMERICAS|Y|7|5.0|7,500,000|1|< 5%
DANONE|EUROPE|Y|6|2.0|5,000,000|1|> 95%
DANSKE BANK A/S|EUROPE|Y|4|2.7|7,500,000|1|> 95%
DARDEN RESTAURANTS, INC.|AMERICAS|Y|3|1.0|10,000,000|2|< 5%
DAVITA INC.|AMERICAS|Y|6|3.7|2,500,000|1|< 5%
DBS BANK LTD.|ASIA EX-JAPAN|Y|4|2.0|2,500,000|0|> 95%
DEERE & COMPANY|AMERICAS|Y|6|3.7|15,000,000|2|< 5%
DELL INC.|AMERICAS|Y|8|5.0|10,000,000|4|< 5%
DELTA AIR LINES, INC.|AMERICAS|Y|5|4.7|7,500,000|2|< 5%
DEUTSCHE BAHN AKTIENGESELLSCHAFT|EUROPE|Y|1|0.3|2,500,000|0|> 95%
DEUTSCHE BANK AKTIENGESELLSCHAFT|EUROPE|Y|11|9.7|50,000,000|6|> 95%
DEUTSCHE LUFTHANSA AKTIENGESELLSCHAFT|EUROPE|Y|8|5.0|22,500,000|5|> 95%
DEUTSCHE POST AG|EUROPE|Y|1|0.3|2,500,000|0|> 95%
DEUTSCHE TELEKOM AG|EUROPE|Y|9|5.3|10,000,000|2|> 95%
DEVON ENERGY CORPORATION|AMERICAS|Y|8|6.7|17,500,000|5|< 5%
DIAGEO PLC|EUROPE|Y|4|1.7|5,000,000|1|> 95%
DIAMOND SPORTS GROUP, LLC|AMERICAS|Y|6|5.0|2,500,000|2|< 5%
DILLARD'S, INC.|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
DISH DBS CORPORATION|AMERICAS|Y|6|5.0|12,500,000|4|< 5%
DNB BANK ASA|EUROPE||1|0.3|2,500,000|0|> 95%
DOMINION ENERGY, INC.|AMERICAS|Y|6|3.0|7,500,000|2|< 5%
DOMTAR CORPORATION|AMERICAS|Y|7|3.7|15,000,000|6|< 5%
DP WORLD LIMITED|EUROPE|Y|1|0.3|2,500,000|0|> 95%
DUBAI|SOVEREIGN|Y|3|1.7|2,500,000|1|> 95%
DUFRY ONE B.V.|EUROPE|Y|1|0.7|2,500,000|0|> 95%
DUKE ENERGY CAROLINAS, LLC|AMERICAS|Y|0|0.0|5,000,000|1|< 5%
DXC TECHNOLOGY COMPANY|AMERICAS|Y|3|1.0|12,500,000|2|< 5%
E. I. DU PONT DE NEMOURS AND COMPANY|AMERICAS|Y|2|0.7|5,000,000|1|< 5%
E.ON SE|EUROPE|Y|5|2.7|10,000,000|1|> 95%
EAST JAPAN RAILWAY COMPANY|JAPAN|Y|0|0.0|2,500,000|0|> 95%
EASTMAN CHEMICAL COMPANY|AMERICAS|Y|4|1.7|10,000,000|2|< 5%
EDP - ENERGIAS DE PORTUGAL, S.A.|EUROPE|Y|2|1.0|2,500,000|0|> 95%
EDP FINANCE B.V.|EUROPE|Y|9|5.0|5,000,000|1|> 95%
ELECTRICITE DE FRANCE|EUROPE|Y|8|2.7|17,500,000|2|> 95%
ELIS|EUROPE|Y|5|4.7|5,000,000|1|> 95%
ELO|EUROPE||4|1.7|2,500,000|1|> 95%
ENBRIDGE INC.|AMERICAS|Y|6|2.7|12,500,000|3|< 5%
ENBW ENERGIE BADEN-WUERTTEMBERG AG|EUROPE|Y|1|0.3|2,500,000|0|> 95%
ENEL S.P.A.|EUROPE|Y|9|6.0|20,000,000|3|> 95%
ENERGY TRANSFER LP|AMERICAS||4|2.3|7,500,000|1|< 5%
ENGIE|EUROPE|Y|10|6.0|10,000,000|1|> 95%
ENI S.P.A.|EUROPE|Y|7|3.7|12,500,000|2|> 95%
EQUINIX, INC.|AMERICAS|Y|2|1.0|2,500,000|0|< 5%
EQUINOR ASA|EUROPE|Y|2|0.7|5,000,000|1|> 95%
ERP OPERATING LIMITED PARTNERSHIP|AMERICAS|Y|1|0.3|5,000,000|1|< 5%
ESKOM HOLDINGS SOC LIMITED|EUROPE|Y|4|1.7|2,500,000|1|> 95%
EXELON CORPORATION|AMERICAS|Y|1|0.3|5,000,000|1|< 5%
EXELON GENERATION COMPANY, LLC|AMERICAS||0|0.0|2,500,000|0|< 5%
EXPEDIA GROUP, INC.|AMERICAS|Y|6|3.0|15,000,000|4|< 5%
EXPERIAN FINANCE PLC|EUROPE|Y|2|0.7|2,500,000|0|> 95%
EXPORT-IMPORT BANK OF INDIA|ASIA EX-JAPAN|Y|7|3.3|2,500,000|0|> 95%
FAURECIA|EUROPE|Y|7|4.3|2,500,000|1|> 95%
FCC AQUALIA, S.A.|EUROPE|Y|0|0.0|2,500,000|0|> 95%
FEDERAL REPUBLIC OF GERMANY|SOVEREIGN|Y|4|1.7|7,500,000|1|> 95%
FEDERATIVE REPUBLIC OF BRAZIL|SOVEREIGN|Y|11|10.3|325,000,000|31|> 95%
FEDEX CORPORATION|AMERICAS|Y|7|4.7|2,500,000|1|< 5%
FIRST DATA CORPORATION|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
FIRSTENERGY CORP.|AMERICAS|Y|4|1.7|5,000,000|1|< 5%
FISERV, INC.|AMERICAS|Y|6|4.0|5,000,000|1|< 5%
FORD MOTOR COMPANY|AMERICAS|Y|10|7.3|50,000,000|8|< 5%
FORD MOTOR CREDIT COMPANY LLC|AMERICAS||4|2.3|10,000,000|3|< 5%
FORTUM OYJ|EUROPE|Y|5|1.7|5,000,000|1|> 95%
FREEPORT-MCMORAN INC.|AMERICAS|Y|4|3.0|12,500,000|3|< 5%
FRENCH REPUBLIC|SOVEREIGN|Y|7|5.3|75,000,000|4|> 95%
FRESENIUS SE & CO. KGAA|EUROPE|Y|3|1.7|2,500,000|0|> 95%
FUJITSU LIMITED|JAPAN|Y|6|3.0|2,500,000|0|> 95%
GALP ENERGIA, SGPS, S.A.|EUROPE|Y|2|0.7|5,000,000|1|> 95%
GARFUNKELUX HOLDCO 2 S.A.|EUROPE|Y|4|2.0|2,500,000|1|> 95%
GAZPROM PUBLIC JOINT STOCK COMPANY|EUROPE|Y|4|2.3|2,500,000|0|> 95%
GENERAL ELECTRIC COMPANY|AMERICAS|Y|7|4.7|125,000,000|28|< 5%
GENERAL MILLS, INC.|AMERICAS|Y|4|1.7|15,000,000|2|< 5%
GENERAL MOTORS COMPANY|AMERICAS|Y|8|4.7|22,500,000|4|5-25%
GENERALITAT DE CATALUNYA|SOVEREIGN||1|0.3|2,500,000|0|> 95%
GENWORTH HOLDINGS, INC.|AMERICAS|Y|2|1.0|5,000,000|2|< 5%
GKN HOLDINGS LIMITED|EUROPE|Y|2|0.7|5,000,000|1|> 95%
GLAXOSMITHKLINE PLC|EUROPE|Y|3|1.3|5,000,000|1|> 95%
GLENCORE INTERNATIONAL AG|EUROPE|Y|9|6.7|50,000,000|8|> 95%
GRIFOLS, S.A.|EUROPE|Y|3|1.7|2,500,000|1|> 95%
GS CALTEX CORPORATION|ASIA EX-JAPAN|Y|2|0.7|2,500,000|0|> 95%
HALLIBURTON COMPANY|AMERICAS|Y|8|5.0|17,500,000|4|< 5%
HAMMERSON PLC|EUROPE|Y|3|1.3|2,500,000|0|> 95%
HANNOVER RUECK SE|EUROPE|Y|9|5.7|7,500,000|2|> 95%
HAPAG-LLOYD AKTIENGESELLSCHAFT|EUROPE|Y|5|2.0|2,500,000|1|> 95%
HCA INC.|AMERICAS|Y|6|3.3|10,000,000|3|< 5%
HD SUPPLY, INC.|AMERICAS|Y|6|4.0|2,500,000|1|< 5%
HEATHROW FUNDING LIMITED|EUROPE||3|1.0|2,500,000|0|> 95%
HEIDELBERGCEMENT AG|EUROPE|Y|8|5.0|10,000,000|3|> 95%
HEINEKEN N.V.|EUROPE|Y|2|1.3|5,000,000|1|> 95%
HELLENIC REPUBLIC|SOVEREIGN|Y|3|1.7|10,000,000|2|> 95%
HELLENIC TELECOMMUNICATIONS ORGANISATION SOCIETE ANONYME|EUROPE|Y|0|0.0|2,500,000|0|> 95%
HENKEL AG & CO. KGAA|EUROPE|Y|1|0.3|2,500,000|0|> 95%
HESS CORPORATION|AMERICAS|Y|8|5.7|17,500,000|5|< 5%
HITACHI, LTD.|JAPAN|Y|7|4.0|2,500,000|0|> 95%
HOCHTIEF AKTIENGESELLSCHAFT|EUROPE|Y|6|3.3|7,500,000|2|> 95%
HOLCIM AG|EUROPE||5|1.7|2,500,000|0|> 95%
HONDA MOTOR CO., LTD.|JAPAN|Y|5|2.7|2,500,000|0|> 95%
HONEYWELL INTERNATIONAL INC.|AMERICAS|Y|2|0.7|10,000,000|1|< 5%
HOST HOTELS & RESORTS, L.P.|AMERICAS|Y|6|3.3|15,000,000|3|< 5%
HOWMET AEROSPACE INC.|AMERICAS|Y|4|2.0|5,000,000|1|< 5%
HP INC.|AMERICAS|Y|4|1.7|12,500,000|3|< 5%
HSBC BANK PLC|EUROPE|Y|6|3.7|12,500,000|1|> 95%
HSBC HOLDINGS PLC|EUROPE|Y|11|9.7|50,000,000|4|> 95%
HUMANA INC.|AMERICAS||1|0.3|2,500,000|0|< 5%
HUNTSMAN INTERNATIONAL LLC|AMERICAS|Y|2|0.7|2,500,000|0|< 5%
HUTCHISON WHAMPOA LIMITED|ASIA EX-JAPAN|Y|4|1.3|5,000,000|0|> 95%
HYUNDAI MOTOR COMPANY|ASIA EX-JAPAN|Y|3|1.0|2,500,000|0|> 95%
IBERDROLA, S.A.|EUROPE|Y|8|2.7|7,500,000|1|> 95%
ICELAND BONDCO PLC|EUROPE|Y|4|3.0|5,000,000|1|> 95%
ICICI BANK LIMITED|ASIA EX-JAPAN|Y|2|0.7|2,500,000|0|> 95%
IMPERIAL BRANDS PLC|EUROPE|Y|8|3.0|12,500,000|2|> 95%
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED|ASIA EX-JAPAN|Y|7|4.7|12,500,000|1|> 95%
INDUSTRIAL BANK OF KOREA|ASIA EX-JAPAN|Y|1|0.3|2,500,000|0|> 95%
INEOS GROUP HOLDINGS S.A.|EUROPE|Y|4|2.3|5,000,000|1|> 95%
ING BANK N.V.|EUROPE|Y|2|0.7|5,000,000|0|> 95%
ING GROEP N.V.|EUROPE|Y|6|4.0|12,500,000|2|> 95%
INTERNATIONAL BUSINESS MACHINES CORPORATION|AMERICAS|Y|7|5.0|17,500,000|3|< 5%
INTERNATIONAL GAME TECHNOLOGY PLC|EUROPE|Y|9|6.7|15,000,000|5|> 95%
INTERNATIONAL LEASE FINANCE CORPORATION|AMERICAS|Y|1|0.3|7,500,000|1|< 5%
INTERNATIONAL PAPER COMPANY|AMERICAS|Y|9|4.0|10,000,000|2|< 5%
